order_id,customer_name,country,product_category,quantity,unit_price,total_value
1,Alice,UK,Electronics,2,299.99,599.98
2,Bob,UK,Clothing,5,24.99,124.95
6,Frank,UK,Electronics,1,499.99,499.99
7,Grace,France,Clothing,4,34.99,139.96
10,Julia,UK,Sports,2,59.99,119.98
11,Karl,France,Electronics,1,199.99,199.99
13,Marco,Italy,Clothing,3,44.99,134.97
14,Nina,Germany,Electronics,2,349.99,699.98
16,Paula,Spain,Sports,5,39.99,199.95
18,Rosa,Italy,Electronics,1,599.99,599.99
19,Sam,UK,Clothing,6,29.99,179.94
21,Uma,Spain,Electronics,3,149.99,449.97
22,Victor,France,Sports,4,74.99,299.96
25,Yara,Germany,Clothing,2,54.99,109.98
26,Zara,UK,Electronics,1,399.99,399.99
28,Beth,Spain,Sports,3,49.99,149.97
29,Cole,Italy,Clothing,4,39.99,159.96
