order_id,customer_name,country,product_category,quantity,unit_price,total_value
1,Alice,UK,Electronics,2,299.99,599.98
2,Bob,UK,Clothing,5,24.99,124.94999999999999
3,Carlos,Spain,Food,8,12.5,100.0
4,Diana,France,Books,3,14.99,44.97
5,Eve,Germany,Sports,1,89.99,89.99
6,Frank,UK,Electronics,1,499.99,499.99
7,Grace,France,Clothing,4,34.99,139.96
8,Hana,Spain,Books,6,9.99,59.94
9,Ivan,Germany,Food,10,5.5,55.0
10,Julia,UK,Sports,2,59.99,119.98
11,Karl,France,Electronics,1,199.99,199.99
12,Laura,UK,Food,7,8.99,62.93
13,Marco,Italy,Clothing,3,44.99,134.97
14,Nina,Germany,Electronics,2,349.99,699.98
15,Omar,UK,Books,4,19.99,79.96
16,Paula,Spain,Sports,5,39.99,199.95000000000002
17,Quinn,France,Food,9,6.75,60.75
18,Rosa,Italy,Electronics,1,599.99,599.99
19,Sam,UK,Clothing,6,29.99,179.94
20,Tina,Germany,Books,2,24.99,49.98
21,Uma,Spain,Electronics,3,149.99,449.97
22,Victor,France,Sports,4,74.99,299.96
23,Wendy,UK,Food,5,11.99,59.95
24,Xander,Italy,Books,7,12.99,90.93
25,Yara,Germany,Clothing,2,54.99,109.98
26,Zara,UK,Electronics,1,399.99,399.99
27,Aaron,France,Food,6,7.5,45.0
28,Beth,Spain,Sports,3,49.99,149.97
29,Cole,Italy,Clothing,4,39.99,159.96
30,Dana,UK,Books,5,16.99,84.94999999999999
